Year-Quarter,Day,Date,City,State,"City, ST",Country,Commodity,Value,Type of Loss,Location,Additional Information,Recovery?,Time,General Category
2020-Q1,Wednesday,1/1/20,Garland,TX,"Garland, TX",USA,Motor oil,100000,Cargo theft,Secure yard,No additional details,,Overnight,Automobile & Parts
2020-Q1,Wednesday,1/1/20,Memphis,TN,"Memphis, TN",USA,Gas cylinders,10000,Pilferage,Truck stop/Gas station,No additional details,,Overnight,Construction & Industrial goods
2020-Q1,Wednesday,1/1/20,Ocala,FL,"Ocala, FL",USA,Televisions,137000,Cargo theft,Secure yard,No additional details,,Overnight,Consumer electronics
2020-Q1,Wednesday,1/1/20,South Holland,IL,"South Holland, IL",USA,Cell phones,100000,Cargo theft,Truck stop/Gas station,East Tollway,,,Consumer electronics
2020-Q1,Friday,1/3/20,Zion,IL,"Zion, IL",USA,Mixed goods,,Seal break,Truck stop/Gas station,Russel Rd,No loss,Overnight,Mixed cargo
2020-Q1,Saturday,1/4/20,Pearl,MS,"Pearl, MS",USA,Tool boxes,,Seal break,Truck stop/Gas station,Flying J on US 80,No loss,Overnight,Automobile & Parts
2020-Q1,Sunday,1/5/20,Mobile,AL,"Mobile, AL",USA,Shrimp,2500,Pilferage,Parking lot,No additional details,,Morning,Food & Drinks
2020-Q1,Monday,1/6/20,Whitehall Township,PA,"Whitehall Township, PA",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,,Mixed cargo
2020-Q1,Monday,1/6/20,Atlanta,GA,"Atlanta, GA",USA,Cigarettes,7798,Pilferage,Parking lot,No additional details,,,Tobacco & Alcohol
2020-Q1,Tuesday,1/7/20,Homewood,IL,"Homewood, IL",USA,Batteries,7500,Pilferage,Unsecured location,No additional details,,Overnight,Automobile & Parts
2020-Q1,Tuesday,1/7/20,Romeoville,IL,"Romeoville, IL",USA,Energy drinks,1000,Pilferage,Unsecured location,No additional details,,,Food & Drinks
2020-Q1,Tuesday,1/7/20,Fontana,CA,"Fontana, CA",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,,Mixed cargo
2020-Q1,Tuesday,1/7/20,Houston,TX,"Houston, TX",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q1,Tuesday,1/7/20,Orlando,FL,"Orlando, FL",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,Evening,Mixed cargo
2020-Q1,Wednesday,1/8/20,Forest Park,GA,"Forest Park, GA",USA,Excavator,40000,Cargo theft,Unsecured location,No additional details,,Overnight,Construction & Industrial goods
2020-Q1,Wednesday,1/8/20,Miami,FL,"Miami, FL",USA,Chocolate,70000,Cargo theft,Roadside,No additional details,,Early AM,Food & Drinks
2020-Q1,Wednesday,1/8/20,Jackson,TN,"Jackson, TN",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,,Mixed cargo
2020-Q1,Thursday,1/9/20,Beaverdam,OH,"Beaverdam, OH",USA,Beauty products,2500,Pilferage,Truck stop/Gas station,No additional details,,Overnight,Beauty & Personal Care
2020-Q1,Thursday,1/9/20,Las Vegas,NV,"Las Vegas, NV",USA,Plastics,7000,Cargo theft,Roadside,No additional details,,,"Cleaning, Plastic, & Paper"
2020-Q1,Thursday,1/9/20,Brampton,ON,"Brampton, ON",CAN,Computers/Laptops,261920,Cargo theft,Unsecured location,No additional details,,,Consumer electronics
2020-Q1,Thursday,1/9/20,Cartersville,GA,"Cartersville, GA",USA,Mixed goods,,Seal break,Truck stop/Gas station,Cassville White,No loss,Early AM,Mixed cargo
2020-Q1,Thursday,1/9/20,Jackson,MS,"Jackson, MS",USA,Mixed goods,,Seal break,Truck stop/Gas station,S Gallatin,No loss,,Mixed cargo
2020-Q1,Friday,1/10/20,Glen Burnie,MD,"Glen Burnie, MD",USA,Metal plates,6511,Pilferage,WH yard/parking,No additional details,,,Metals
2020-Q1,Friday,1/10/20,Wayne,MI,"Wayne, MI",USA,Tequila,12729,Pilferage,Roadside,No additional details,,Early AM,Tobacco & Alcohol
2020-Q1,Saturday,1/11/20,Midway,GA,"Midway, GA",USA,Lawn mowers,8000,Pilferage,Unsecured location,No additional details,,,"Animal, Farm, & Equipment"
2020-Q1,Saturday,1/11/20,W Sacramento,CA,"W Sacramento, CA",USA,Batteries,80000,Pilferage,WH yard/parking,No additional details,,,Automobile & Parts
2020-Q1,Sunday,1/12/20,Hutchins,TX,"Hutchins, TX",USA,Apparel,150000,Cargo theft,Parking lot,No additional details,,Overnight,Apparel
2020-Q1,Sunday,1/12/20,Wooddale,IL,"Wooddale, IL",USA,Lighting,78541,Cargo theft,Parking lot,No additional details,,Early AM,Construction & Industrial goods
2020-Q1,Sunday,1/12/20,Elk Grove Village,IL,"Elk Grove Village, IL",USA,Food products,40000,Cargo theft,Origin/DC,No additional details,,Early AM,Food & Drinks
2020-Q1,Sunday,1/12/20,Monee,IL,"Monee, IL",USA,Candy,140229,Pilferage,Truck stop/Gas station,W Monee Manhattan Rd,,,Food & Drinks
2020-Q1,Sunday,1/12/20,College Park,MD,"College Park, MD",USA,Alcoholic beverages,70000,Cargo theft,Secure yard,No additional details,,Early AM,Tobacco & Alcohol
2020-Q1,Monday,1/13/20,Delano,CA,"Delano, CA",USA,Hay,7500,Cargo theft,Unsecured location,No additional details,,Overnight,"Animal, Farm, & Equipment"
2020-Q1,Monday,1/13/20,Bellmawr,NJ,"Bellmawr, NJ",USA,Mixed goods,30000,Cargo theft,Secure yard,No additional details,Partial,Early AM,Mixed cargo
2020-Q1,Monday,1/13/20,Philadelphia,PA,"Philadelphia, PA",USA,Wine,2500,Pilferage,Roadside,No additional details,,Overnight,Tobacco & Alcohol
2020-Q1,Monday,1/13/20,Villa Rica,GA,"Villa Rica, GA",USA,Beer,5000,Pilferage,Truck stop/Gas station,Liberty Rd,,Overnight,Tobacco & Alcohol
2020-Q1,Wednesday,1/15/20,Ocoee,FL,"Ocoee, FL",USA,Automobiles,175000,Cargo theft,Parking lot,No additional details,,Early AM,Automobile & Parts
2020-Q1,Wednesday,1/15/20,Newnan,GA,"Newnan, GA",USA,Mixed goods,,Seal break,Parking lot,No additional details,No loss,Afternoon,Mixed cargo
2020-Q1,Thursday,1/16/20,White Marsh,MD,"White Marsh, MD",USA,Diapers,5000,Pilferage,Roadside,No additional details,,Overnight,"Cleaning, Plastic, & Paper"
2020-Q1,Saturday,1/18/20,Brampton,ON,"Brampton, ON",CAN,Tires,140000,Cargo theft,Drop lot,No additional details,,Early AM,Automobile & Parts
2020-Q1,Saturday,1/18/20,Columbus,OH,"Columbus, OH",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,Overnight,Mixed cargo
2020-Q1,Saturday,1/18/20,French Camp,CA,"French Camp, CA",USA,Mixed goods,,Seal break,Carrier yard/parking,No additional details,No loss,Overnight,Mixed cargo
2020-Q1,Sunday,1/19/20,Detroit,MI,"Detroit, MI",USA,Mixed goods,,Seal break,Receivers,No additional details,No loss,,Mixed cargo
2020-Q1,Sunday,1/19/20,Stockton,CA,"Stockton, CA",USA,Mixed goods,,Seal break,Drop lot,No additional details,No loss,,Mixed cargo
2020-Q1,Sunday,1/19/20,Shreveport,LA,"Shreveport, LA",USA,Beer,2000,Pilferage,Parking lot,No additional details,,,Tobacco & Alcohol
2020-Q1,Monday,1/20/20,Lauderdale Lakes,FL,"Lauderdale Lakes, FL",USA,Apparel,30000,Cargo theft,Parking lot,No additional details,,Overnight,Apparel
2020-Q1,Monday,1/20/20,Pearl,MS,"Pearl, MS",USA,Tiles,,Seal break,Truck stop/Gas station,US 80,No loss,Overnight,Construction & Industrial goods
2020-Q1,Monday,1/20/20,Richmond,IN,"Richmond, IN",USA,Mixed goods,,Seal break,Truck stop/Gas station,US 35,No loss,Overnight,Mixed cargo
